GDG,question_id,included_article_id,included_postfulltext,included_reference,same_study_diff_article,notes,author_1_extract,year_pub_extract,author_year_format,included_article_doi,included_article_pmid,oa_id,ss_id,title_if_unavailable,title,pmid_sent,doi_sent
1.0,1.11,265,23.0,"Shu XO, Brinton LA, Zheng W, Gao YT, Fan J, Fraumeni JF Jr. A population-based case-control study of endometrial cancer in Shanghai, China. Int J Cancer. 1991 Aug 19;49(1):38-43. doi: 10.1002/ijc.2910490108. PMID: 1874568.",primary_citation,,Shu XO,1991,"Shu XO et al., 1991",10.1002/ijc.2910490108,1874568.0,,,,"A population‐based case‐control study of endometrial cancer in shanghai, china",pmid:1874568,
1.0,1.11,266,23.0,"Uehara, T., Mitsuhashi, A., & Shozu, M. (2020). The impact of pre-existing polycystic ovary syndrome on endometrial cancer recurrence. European Journal Of Gynaecological Oncology, 41(5), 668. doi: 10.31083/j.ejgo.2020.05.5038",primary_citation,,Uehara,2020,"Uehara et al., 2020",10.31083/j.ejgo.2020.05.5038,,,,,The impact of preexisting polycystic ovary syndrome on endometrial cancer recurrence,,10.31083/j.ejgo.2020.05.5038
1.0,1.11,267,23.0,"Zucchetto A, Serraino D, Polesel J, Negri E, De Paoli A, Dal Maso L, Montella M, La Vecchia C, Franceschi S, Talamini R. Hormone-related factors and gynecological conditions in relation to endometrial cancer risk. Eur J Cancer Prev. 2009 Aug;18(4):316-21. doi: 10.1097/cej.0b013e328329d830. PMID: 19554665.",primary_citation,,Zucchetto A,2009,"Zucchetto A et al., 2009",10.1097/cej.0b013e328329d830,19554665.0,,,,Hormone-related factors and gynecological conditions in relation to endometrial cancer risk,pmid:19554665,
1.0,1.11,268,23.0,"Barry JA, Azizia MM, Hardiman PJ. Risk of endometrial, ovarian and breast cancer in women with polycystic ovary syndrome: a systematic review and meta-analysis. Hum Reprod Update. 2014 Sep-Oct;20(5):748-58. doi: 10.1093/humupd/dmu012. Epub 2014 Mar 30. ",primary_citation,SR,Barry JA,2014,"Barry JA et al., 2014",10.1093/humupd/dmu012,,,,,"Risk of endometrial, ovarian and breast cancer in women with polycystic ovary syndrome: a systematic review and meta-analysis",pmid:24688118,10.1093/humupd/dmu012
1.0,1.11,269,23.0,"Chittenden BG, Fullerton G, Maheshwari A, Bhattacharya S. Polycystic ovary syndrome and the risk of gynaecological cancer: a systematic review. Reprod Biomed Online. 2009 Sep;19(3):398-405. doi: 10.1016/s1472-6483(10)60175-7. PMID: 19778486.",primary_citation,SR,Chittenden BG,2009,"Chittenden BG et al., 2009",10.1016/s1472-6483(10)60175-7,19778486.0,,,,Polycystic ovary syndrome and the risk of gynaecological cancer: a systematic review,pmid:19778486,
1.0,1.11,270,23.0,"Haoula Z, Salman M, Atiomo W. Evaluating the association between endometrial cancer and polycystic ovary syndrome. Hum Reprod. 2012 May;27(5):1327-31. doi: 10.1093/humrep/des042. Epub 2012 Feb 24. PMID: 22367984.",primary_citation,SR,Haoula Z,2012,"Haoula Z et al., 2012",10.1093/humrep/des042,22367984.0,,,,Evaluating the association between endometrial cancer and polycystic ovary syndrome,pmid:22367984,
1.0,1.11,271,23.0,"Li Z, Wang YH, Wang LL, Hu DT, Teng Y, Zhang TY, Yan ZY, Wang F, Zou YF. Polycystic ovary syndrome and the risk of endometrial, ovarian and breast cancer: An updated meta-analysis. Scott Med J. 2022 Aug;67(3):109-120. doi: 10.1177/00369330221107099.  ",primary_citation,SR,Li Z,2022,"Li Z et al., 2022",10.1177/00369330221107099,,,,,"Polycystic ovary syndrome and the risk of endometrial, ovarian and breast cancer: An updated meta-analysis",pmid:35686317,10.1177/00369330221107099
1.0,1.11,272,23.0,"Niwa K, Imai A, Hashimoto M, Yokoyama Y, Mori H, Matsuda Y, Tamaya T. A case-control study of uterine endometrial cancer of pre- and post-menopausal women. Oncol Rep. 2000 Jan-Feb;7(1):89-93. PMID: 10601598.",primary_citation,prior search,Niwa K,2000,"Niwa K et al., 2000",10.3892/or.7.1.89,10601598.0,,,,A case-control study of uterine endometrial cancer of pre- and post-menopausal women.,pmid:10601598,
1.0,1.11,273,23.0,"Wild S, Pierpoint T, Jacobs H, et al. Long-term consequences of polycystic ovary syndrome: results of a 31 year follow-up study. Hum Fertil (Camb) 2000; 3: 101–105. ",primary_citation,prior search,Wild S,2000,"Wild S et al., 2000",10.1080/1464727002000198781,,,,,Long-term consequences of polycystic ovary syndrome: Results of a 31 year follow-up study,pmid:11844363,10.1080/1464727002000198781
1.0,1.12,274,60.0,"Baillargeon JP, Carpentier AC. Brothers of women with polycystic ovary syndrome are characterised by impaired glucose tolerance, reduced insulin sensitivity and related metabolic defects. Diabetologia. 2007 Dec;50(12):2424-32. doi: 10.1007/s00125-007-0831-9. Epub 2007 Sep 27. PMID: 17898989; PMCID: PMC3846531.",primary_citation,,Baillargeon JP,2007,"Baillargeon JP et al., 2007",10.1007/s00125-007-0831-9,17898989.0,,,,"Brothers of women with polycystic ovary syndrome are characterised by impaired glucose tolerance, reduced insulin sensitivity and related metabolic defects",pmid:17898989,
1.0,1.12,275,60.0,"Coviello AD, Sam S, Legro RS, Dunaif A. High prevalence of metabolic syndrome in first-degree male relatives of women with polycystic ovary syndrome is related to high rates of obesity. J Clin Endocrinol Metab. 2009 Nov;94(11):4361-6. doi: 10.1210/jc.2009-1333. Epub 2009 Oct 16. PMID: 19837913; PMCID: PMC2775643.",primary_citation,,Coviello AD,2009,"Coviello AD et al., 2009",10.1210/jc.2009-1333,19837913.0,,,,High Prevalence of Metabolic Syndrome in First-Degree Male Relatives of Women with Polycystic Ovary Syndrome Is Related to High Rates of Obesity,pmid:19837913,
1.0,1.12,276,60.0,"Crisosto N, Echiburú B, Maliqueo M, Luchsinger M, Rojas P, Recabarren S, Sir-Petermann T. Reproductive and metabolic features during puberty in sons of women with polycystic ovary syndrome. Endocr Connect. 2017 Nov;6(8):607-613. doi: 10.1530/EC-17-0218. Epub 2017 Sep 14. PMID: 28912339; PMCID: PMC5640572. (primary citation)",primary_citation,,Crisosto N,2017,"Crisosto N et al., 2017",10.1530/ec-17-0218,28912339.0,,,,Reproductive and metabolic features during puberty in sons of women with polycystic ovary syndrome,pmid:28912339,
1.0,1.12,277,60.0,"SIR-PETERMANN, T., VANTMAN, N., CONCHA, F., ECHIBURU, B., PEREIRA, C., DE GUEVARA, A. L., CRISOSTO, N. R., PEREZ-BRAVO, F. A. & SANTOS, J. L. 2014. Metabolic Profile and Eating Behavior Score in Prepubertal and Early Pubertal Sons of Women with Polycystic Ovary Syndrome. Endocr. Rev., 35, 2.",samestudy_276,,SIR-PETERMANN,2014,"SIR-PETERMANN et al., 2014",,,,,Metabolic Profile and Eating Behavior Score in Prepubertal and Early Pubertal Sons of Women with Polycystic Ovary Syndrome,,,
1.0,1.12,278,60.0,"Crisosto N, Ladrón de Guevara A, Echiburú B, Maliqueo M, Cavada G, Codner E, Paez F, Sir-Petermann T. Higher luteinizing hormone levels associated with antimüllerian hormone in postmenarchal daughters of women with polycystic ovary syndrome. Fertil Steril. 2019 Feb;111(2):381-388. doi: 10.1016/j.fertnstert.2018.10.011. Epub 2018 Dec 7. PMID: 30527840.",primary_citation,,Crisosto N,2019,"Crisosto N et al., 2019",10.1016/j.fertnstert.2018.10.011,30527840.0,,,,Higher luteinizing hormone levels associated with antimüllerian hormone in postmenarchal daughters of women with polycystic ovary syndrome,pmid:30527840,
1.0,1.12,279,60.0,"deWilde MA, Eising JB, Gunning MN, Koster MPH, Evelein AMV, Dalmeijer GW, Uiterwaal CSPM, Eijkemans MJC, Ent CKV, Meijboom FJ, Fauser BCJM. Cardiovascular and Metabolic Health of 74 Children From Women Previously Diagnosed With Polycystic Ovary Syndrome in Comparison With a Population-Based Reference Cohort. Reprod Sci. 2018 Oct;25(10):1492-1500. doi: 10.1177/1933719117749761. Epub 2018 Jan 10. PMID: 29320957.",primary_citation,,deWilde MA,2018,"deWilde MA et al., 2018",10.1177/1933719117749761,29320957.0,,,,Cardiovascular and Metabolic Health of 74 Children From Women Previously Diagnosed With Polycystic Ovary Syndrome in Comparison With a Population-Based Reference Cohort,pmid:29320957,
1.0,1.12,280,60.0,"Diamanti-Kandarakis E, Alexandraki K, Bergiele A, Kandarakis H, Mastorakos G, Aessopos A. Presence of metabolic risk factors in non-obese PCOS sisters: evidence of heritability of insulin resistance. J Endocrinol Invest. 2004 Nov;27(10):931-6. doi: 10.1007/BF03347535. PMID: 15762040.",primary_citation,,Diamanti-Kandarakis E,2004,"Diamanti-Kandarakis E et al., 2004",10.1007/bf03347535,15762040.0,,,,Presence of metabolic risk factors in non-obese PCOS sisters: Evidence of heritability of insulin resistance,pmid:15762040,
1.0,1.12,281,60.0,"Harnois-Leblanc S, Trottier A, Leblanc S, Battista MC, Geller DH, Baillargeon JP. Evolution of metabolic alterations 5 Years after early puberty in a cohort of girls predisposed to polycystic ovary syndrome. Reprod Biol Endocrinol. 2017 Jul 24;15(1):56. doi: 10.1186/s12958-017-0275-0. PMID: 28738839; PMCID: PMC5525344. (primary citation)",primary_citation,,Harnois-Leblanc S,2017,"Harnois-Leblanc S et al., 2017",10.1186/s12958-017-0275-0,28738839.0,,,,Evolution of metabolic alterations 5 Years after early puberty in a cohort of girls predisposed to polycystic ovary syndrome,pmid:28738839,
1.0,1.12,282,60.0,"Leblanc, S. H., Leblanc, S., Battista, M. C., Geller, D. H., & Baillargeon, J. P. (2016). Evolution of metabolic alterations 5 years after peri-pubertal years in young girls genetically predisposed to polycystic ovary syndrome compared to age-matched control girls. Endocrine Reviews, 37(2 Supplement 1). doi:https://dx.doi.org/10.1210/endo-meetings.2016.RE.5.SUN-156",samestudy_281,,Leblanc,2016,"Leblanc et al., 2016",,,,,,,,
1.0,1.12,283,60.0,"Joharatnam J, Barber TM, Webber L, Conway GS, McCarthy MI, Franks S. Determinants of dyslipidaemia in probands with polycystic ovary syndrome and their sisters. Clin Endocrinol (Oxf). 2011 Jun;74(6):714-9. doi: 10.1111/j.1365-2265.2011.03983.x. PMID: 21521255; PMCID: PMC4625580. (primary citation)",primary_citation,,Joharatnam J,2011,"Joharatnam J et al., 2011",10.1111/j.1365-2265.2011.03983.x,21521255.0,,,,Determinants of dyslipidaemia in probands with polycystic ovary syndrome and their sisters,pmid:21521255,
1.0,1.12,284,60.0,"Franks S, Webber LJ, Goh M, Valentine A, White DM, Conway GS, Wiltshire S, McCarthy MI. Ovarian morphology is a marker of heritable biochemical traits in sisters with polycystic ovaries. J Clin Endocrinol Metab. 2008 Sep;93(9):3396-402. doi: 10.1210/jc.2008-0369. Epub 2008 Jun 17. PMID: 18559912.",samestudy_283,,Franks S,2008,"Franks S et al., 2008",10.1210/jc.2008-0369,18559912.0,,,,Ovarian Morphology Is a Marker of Heritable Biochemical Traits in Sisters with Polycystic Ovaries,pmid:18559912,
1.0,1.12,285,60.0,"Karthik S, Vipin VP, Kapoor A, Tripathi A, Shukla M, Dabadghao P. Cardiovascular disease risk in the siblings of women with polycystic ovary syndrome. Hum Reprod. 2019 Aug 1;34(8):1559-1566. doi: 10.1093/humrep/dez104. PMID: 31299073. (primary citation)",primary_citation,,Karthik S,2019,"Karthik S et al., 2019",10.1093/humrep/dez104,31299073.0,,,,Cardiovascular disease risk in the siblings of women with polycystic ovary syndrome,pmid:31299073,
1.0,1.12,286,60.0,"Subramaniam K, Tripathi A, Dabadghao P. Familial clustering of metabolic phenotype in brothers of women with polycystic ovary syndrome. Gynecol Endocrinol. 2019 Jul;35(7):601-603. doi: 10.1080/09513590.2019.1566451. Epub 2019 Feb 6. PMID: 30727783.",samestudy_285,,Subramaniam K,2019,"Subramaniam K et al., 2019",10.1080/09513590.2019.1566451,30727783.0,,,,Familial clustering of metabolic phenotype in brothers of women with polycystic ovary syndrome,pmid:30727783,
1.0,1.12,287,60.0,"Karthik, S, Vipin, VP, Kapoor, A, Tripathi, A, Shukla, M & Dabadghao, P 2019, ‘Cardiovascular disease risk in the siblings of women with polycystic ovary syndrome’, Human Reproduction, vol. 34, no. 8, pp. 1559–1566.",samestudy_285,,Karthik,2019,"Karthik et al., 2019",10.1093/humrep/dez104,31299073.0,,,,Cardiovascular disease risk in the siblings of women with polycystic ovary syndrome,pmid:31299073,
1.0,1.12,288,60.0,"Kent SC, Gnatuk CL, Kunselman AR, Demers LM, Lee PA, Legro RS. Hyperandrogenism and hyperinsulinism in children of women with polycystic ovary syndrome: a controlled study. J Clin Endocrinol Metab. 2008 May;93(5):1662-9. doi: 10.1210/jc.2007-1958. Epub 2008 Feb 12. PMID: 18270257; PMCID: PMC2386683.",primary_citation,,Kent SC,2008,"Kent SC et al., 2008",10.1210/jc.2007-1958,18270257.0,,,,Hyperandrogenism and Hyperinsulinism in Children of Women with Polycystic Ovary Syndrome: A Controlled Study,pmid:18270257,
1.0,1.12,289,60.0,"Krysiak R, Basiak M, Szkróbka W, Okopień B. The Impact of Telmisartan on Cardiometabolic Risk Factors in Hypertensive Male Siblings of Women With Polycystic Ovary Syndrome. J Clin Pharmacol. 2021 Sep;61(9):1165-1173. doi: 10.1002/jcph.1872. Epub 2021 Jun 17. PMID: 33837974.",primary_citation,,Krysiak R,2021,"Krysiak R et al., 2021",10.1002/jcph.1872,33837974.0,,,,The Impact of Telmisartan on Cardiometabolic Risk Factors in Hypertensive Male Siblings of Women With Polycystic Ovary Syndrome,pmid:33837974,
1.0,1.12,290,60.0,"Krysiak R, Szkróbka W, Okopień B. The impact of atorvastatin on cardiometabolic risk factors in brothers of women with polycystic ovary syndrome. Pharmacol Rep. 2021 Feb;73(1):261-268. doi: 10.1007/s43440-020-00135-w. Epub 2020 Jul 21. Erratum in: Pharmacol Rep. 2021 Oct;73(5):1481. PMID: 32696349; PMCID: PMC8149333.",primary_citation,,Krysiak R,2021,"Krysiak R et al., 2021",10.1007/s43440-020-00135-w,32696349.0,,,,The impact of atorvastatin on cardiometabolic risk factors in brothers of women with polycystic ovary syndrome,pmid:32696349,
1.0,1.12,291,60.0,"Kulshreshtha B, Sharma N, Pant S, Prasad A, Chitkara A, Pahuja B, Pahuja I. Predictors of Metabolic Syndrome among Polycystic Ovary Syndrome Sisters. J Hum Reprod Sci. 2019 Oct-Dec;12(4):334-340. doi: 10.4103/jhrs.JHRS_172_18. Epub 2019 Dec 17. PMID: 32038085; PMCID: PMC6937762.",primary_citation,,Kulshreshtha B,2019,"Kulshreshtha B et al., 2019",10.4103/jhrs.jhrs_172_18,32038085.0,,,,Predictors of metabolic syndrome among polycystic ovary syndrome sisters,pmid:32038085,
1.0,1.12,292,60.0,"Legro RS, Kunselman AR, Stetter CM, Gnatuk CL, Estes SJ, Brindle E, Vesper HW, Botelho JC, Lee PA, Dodson WC. Normal Pubertal Development in Daughters of Women With PCOS: A Controlled Study. J Clin Endocrinol Metab. 2017 Jan 1;102(1):122-131. doi: 10.1210/jc.2016-2707. PMID: 27778640; PMCID: PMC5413094.",primary_citation,,Legro RS,2017,"Legro RS et al., 2017",10.1210/jc.2016-2707,27778640.0,,,,Normal Pubertal Development in Daughters of Women With PCOS: A Controlled Study,pmid:27778640,
1.0,1.12,293,60.0,"Lenarcik, A., Bidzinska-Speichert, B. and Tworowska-Bardzinska, U. (2011) ‘Metabolic Abnormalities in Siblings of Women with Polycystic Ovary Syndrome’, ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE, 20(2), pp. 165–175. ",primary_citation,,Lenarcik,2011,"Lenarcik et al., 2011",,,,74019465.0,Metabolic Abnormalities in Siblings of Women with Polycystic Ovary Syndrome,,,
1.0,1.12,294,60.0,"Li J, Cui L, Jiang X, Zhao H, Zhao S, Shi Y, Wei D, You L, Ma J, Chen ZJ. Transmission of polycystic ovary syndrome susceptibility single-nucleotide polymorphisms and their association with phenotype changes in offspring. Hum Reprod. 2020 Jul 1;35(7):1711-1718. doi: 10.1093/humrep/deaa125. PMID: 32619219. (primary citation)",primary_citation,,Li J,2020,"Li J et al., 2020",10.1093/humrep/deaa125,32619219.0,,,,Transmission of polycystic ovary syndrome susceptibility single-nucleotide polymorphisms and their association with phenotype changes in offspring,pmid:32619219,
1.0,1.12,295,60.0,"Zhang Z, Liu Y, Lv J, Zhang D, Hu K, Li J, Ma J, Cui L, Zhao H. Differential Lipidomic Characteristics of Children Born to Women with Polycystic Ovary Syndrome. Front Endocrinol (Lausanne). 2021 Aug 9;12:698734. doi: 10.3389/fendo.2021.698734. PMID: 34434168; PMCID: PMC8380809.",samestudy_294,,Zhang Z,2021,"Zhang Z et al., 2021",10.3389/fendo.2021.698734,34434168.0,,,,Differential Lipidomic Characteristics of Children Born to Women with Polycystic Ovary Syndrome,pmid:34434168,
1.0,1.12,296,60.0,"Raissouni N, Kolesnikov A, Purushothaman R, Sinha S, Bhandari S, Bhangoo A, Malik S, Mathew R, Baillargeon JP, Hernandez MI, Rosenbaum M, Ten S, Geller D. Altered glucose disposition and insulin sensitivity in peri-pubertal first-degree relatives of women with polycystic ovary syndrome. Int J Pediatr Endocrinol. 2012 May 29;2012(1):14. doi: 10.1186/1687-9856-2012-14. PMID: 22643321; PMCID: PMC3477027. (primary citation)",primary_citation,,Raissouni N,2012,"Raissouni N et al., 2012",10.1186/1687-9856-2012-14,22643321.0,,,,Altered glucose disposition and insulin sensitivity in peri-pubertal first-degree relatives of women with polycystic ovary syndrome,pmid:22643321,
1.0,1.12,297,60.0,"Trottier, A., Battista, M. C., Carpentier, A., Simoneau-Roy, J., Geller, D., & Baillargeon, J. P. (2011). Early metabolic and endocrine perturbations in pre- or peripubertal girls with a first degree relative with polycystic ovary syndrome. Fertility and sterility, 96(3), S129-S129. doi:10.1016/j.fertnstert.2011.07.502",samestudy_296,,Trottier,2011,"Trottier et al., 2011",10.1016/j.fertnstert.2011.07.502,,,,,Early metabolic and endocrine perturbations in pre- or peripubertal girls with a first degree relative with polycystic ovary syndrome,,10.1016/j.fertnstert.2011.07.502
1.0,1.12,298,60.0,"Trottier, A., Battista, M. C., Simoneau-Roy, J., Carpentier, A., Geller, D. H., & Baillargeon, J. P. (2011). Early metabolic and endocrine perturbations in first-degree relative adolescent girls of polycystic ovary syndrome women. Endocrine Reviews, 32(3 Meeting Abstracts). ",samestudy_296,,Trottier,2011,"Trottier et al., 2011",10.1210/endo-meetings.2011.part2.p32.p2-239,,W4253108685,,,Early Metabolic and Endocrine Perturbations in First-Degree Relative Adolescent Girls of Polycystic Ovary Syndrome Women,,
1.0,1.12,299,60.0,"Trottier A, Battista MC, Geller DH, Moreau B, Carpentier AC, Simoneau-Roy J, Baillargeon JP. Adipose tissue insulin resistance in peripubertal girls with first-degree family history of polycystic ovary syndrome. Fertil Steril. 2012 Dec;98(6):1627-34. doi: 10.1016/j.fertnstert.2012.08.025. Epub 2012 Sep 15. PMID: 22985947; PMCID: PMC3902032.",samestudy_296,,Trottier A,2012,"Trottier A et al., 2012",10.1016/j.fertnstert.2012.08.025,22985947.0,,,,Adipose tissue insulin resistance in peripubertal girls with first-degree family history of polycystic ovary syndrome,pmid:22985947,
1.0,1.12,300,60.0,"Recabarren SE, Smith R, Rios R, Maliqueo M, Echiburú B, Codner E, Cassorla F, Rojas P, Sir-Petermann T. Metabolic profile in sons of women with polycystic ovary syndrome. J Clin Endocrinol Metab. 2008 May;93(5):1820-6. doi: 10.1210/jc.2007-2256. Epub 2008 Jan 29. PMID: 18230657. (primary citation)

",primary_citation,,Recabarren SE,2008,"Recabarren SE et al., 2008",10.1210/jc.2007-2256,18230657.0,,,,Metabolic Profile in Sons of Women with Polycystic Ovary Syndrome,pmid:18230657,
1.0,1.12,301,60.0,"Recabarren SE, Sir-Petermann T, Rios R, Maliqueo M, Echiburú B, Smith R, Rojas-García P, Recabarren M, Rey RA. Pituitary and testicular function in sons of women with polycystic ovary syndrome from infancy to adulthood. J Clin Endocrinol Metab. 2008 Sep;93(9):3318-24. doi: 10.1210/jc.2008-0255. Epub 2008 Jun 10. PMID: 18544620.",samestudy_300,,Recabarren SE,2008,"Recabarren SE et al., 2008",10.1210/jc.2008-0255,18544620.0,,,,Pituitary and Testicular Function in Sons of Women with Polycystic Ovary Syndrome from Infancy to Adulthood,pmid:18544620,
1.0,1.12,302,60.0,"Recabarren SE, et al. (2008) Metabolic profile in sons of women with polycystic ovary syndrome (PCOS). J Clin Endocrinol Metab doi:10.1210/jc.2007-2256.",samestudy_300,,Recabarren SE,2008,"Recabarren SE et al., 2008",10.1210/jc.2007-2256,,,,,Metabolic Profile in Sons of Women with Polycystic Ovary Syndrome,pmid:18230657,10.1210/jc.2007-2256
1.0,1.12,303,60.0,"Sam S, Legro RS, Bentley-Lewis R, Dunaif A. Dyslipidemia and metabolic syndrome in the sisters of women with polycystic ovary syndrome. J Clin Endocrinol Metab. 2005 Aug;90(8):4797-802. doi: 10.1210/jc.2004-2217. Epub 2005 May 17. PMID: 15899949; PMCID: PMC4428585. (primary citation)",primary_citation,,Sam S,2005,"Sam S et al., 2005",10.1210/jc.2004-2217,15899949.0,,,,Dyslipidemia and Metabolic Syndrome in the Sisters of Women with Polycystic Ovary Syndrome,pmid:15899949,
1.0,1.12,304,60.0,"Legro RS, Driscoll D, Strauss JF 3rd, Fox J, Dunaif A. Evidence for a genetic basis for hyperandrogenemia in polycystic ovary syndrome. Proc Natl Acad Sci U S A. 1998 Dec 8;95(25):14956-60. doi: 10.1073/pnas.95.25.14956. PMID: 9843997; PMCID: PMC24557.",samestudy_303,,Legro RS,1998,"Legro RS et al., 1998",10.1073/pnas.95.25.14956,9843997.0,,,,Evidence for a genetic basis for hyperandrogenemia in polycystic ovary syndrome,pmid:9843997,
1.0,1.12,305,60.0,"Legro RS, Bentley-Lewis R, Driscoll D, Wang SC, Dunaif A. Insulin resistance in the sisters of women with polycystic ovary syndrome: association with hyperandrogenemia rather than menstrual irregularity. J Clin Endocrinol Metab. 2002 May;87(5):2128-33. doi: 10.1210/jcem.87.5.8513. PMID: 11994352; PMCID: PMC4429513.",samestudy_303,,Legro RS,2002,"Legro RS et al., 2002",10.1210/jcem.87.5.8513,11994352.0,,,,Insulin Resistance in the Sisters of Women with Polycystic Ovary Syndrome: Association with Hyperandrogenemia Rather Than Menstrual Irregularity,pmid:11994352,
1.0,1.12,306,60.0,"Sam S, Legro RS, Essah PA, Apridonidze T, Dunaif A. Evidence for metabolic and reproductive phenotypes in mothers of women with polycystic ovary syndrome. Proc Natl Acad Sci U S A. 2006 May 2;103(18):7030-5. doi: 10.1073/pnas.0602025103. Epub 2006 Apr 21. PMID: 16632599; PMCID: PMC1459013. (primary citation)",primary_citation,,Sam S,2006,"Sam S et al., 2006",10.1073/pnas.0602025103,16632599.0,,,,Evidence for metabolic and reproductive phenotypes in mothers of women with polycystic ovary syndrome,pmid:16632599,
1.0,1.12,307,60.0,"Taylor MC, Reema Kar A, Kunselman AR, Stetter CM, Dunaif A, Legro RS. Evidence for increased cardiovascular events in the fathers but not mothers of women with polycystic ovary syndrome. Hum Reprod. 2011 Aug;26(8):2226-31. doi: 10.1093/humrep/der101. Epub 2011 Apr 19. PMID: 21505042; PMCID: PMC3137384.",samestudy_306,,Taylor MC,2011,"Taylor MC et al., 2011",10.1093/humrep/der101,21505042.0,,,,Evidence for increased cardiovascular events in the fathers but not mothers of women with polycystic ovary syndrome,pmid:21505042,
1.0,1.12,308,60.0,"Legro RS, Roller RL, Dodson WC, Stetter CM, Kunselman AR, Dunaif A. Associations of birthweight and gestational age with reproductive and metabolic phenotypes in women with polycystic ovarian syndrome and their first-degree relatives. J Clin Endocrinol Metab. 2010 Feb;95(2):789-99. doi: 10.1210/jc.2009-1849. Epub 2009 Dec 4. PMID: 19965924; PMCID: PMC2840854.",samestudy_311,,Legro RS,2010,"Legro RS et al., 2010",10.1210/jc.2009-1849,19965924.0,,,,Associations of Birthweight and Gestational Age with Reproductive and Metabolic Phenotypes in Women with Polycystic Ovarian Syndrome and Their First-Degree Relatives,pmid:19965924,
1.0,1.12,309,60.0,"Legro RS, Kunselman AR, Demers L, Wang SC, Bentley-Lewis R, Dunaif A. Elevated dehydroepiandrosterone sulfate levels as the reproductive phenotype in the brothers of women with polycystic ovary syndrome. J Clin Endocrinol Metab. 2002 May;87(5):2134-8. doi: 10.1210/jcem.87.5.8387. PMID: 11994353; PMCID: PMC4428582.",samestudy_311,,Legro RS,2002,"Legro RS et al., 2002",10.1210/jcem.87.5.8387,11994353.0,,,,Elevated Dehydroepiandrosterone Sulfate Levels as the Reproductive Phenotype in the Brothers of Women with Polycystic Ovary Syndrome,pmid:11994353,
1.0,1.12,310,60.0,"Sam S, Sung YA, Legro RS, Dunaif A. Evidence for pancreatic beta-cell dysfunction in brothers of women with polycystic ovary syndrome. Metabolism. 2008 Jan;57(1):84-9. doi: 10.1016/j.metabol.2007.08.010. PMID: 18078863; PMCID: PMC2710887.",samestudy_311,,Sam S,2008,"Sam S et al., 2008",10.1016/j.metabol.2007.08.010,18078863.0,,,,Evidence for pancreatic β-cell dysfunction in brothers of women with polycystic ovary syndrome,pmid:18078863,
1.0,1.12,311,60.0,"Sam S, Coviello AD, Sung YA, Legro RS, Dunaif A. Metabolic phenotype in the brothers of women with polycystic ovary syndrome. Diabetes Care. 2008 Jun;31(6):1237-41. doi: 10.2337/dc07-2190. Epub 2008 Mar 10. PMID: 18332151; PMCID: PMC2897239. (primary citation)",primary_citation,,Sam S,2008,"Sam S et al., 2008",10.2337/dc07-2190,18332151.0,,,,Metabolic Phenotype in the Brothers of Women with Polycystic Ovary Syndrome,pmid:18332151,
1.0,1.12,312,60.0,"Sir-Petermann T, Cartes A, Maliqueo M, Vantman D, Gutiérrez C, Toloza H, Echiburú B, Recabarren SE. Patterns of hormonal response to the GnRH agonist leuprolide in brothers of women with polycystic ovary syndrome: a pilot study. Hum Reprod. 2004 Dec;19(12):2742-7. doi: 10.1093/humrep/deh512. Epub 2004 Sep 9. PMID: 15358722.",primary_citation,,Sir-Petermann T,2004,"Sir-Petermann T et al., 2004",10.1093/humrep/deh512,15358722.0,,,,Patterns of hormonal response to the GnRH agonist leuprolide in brothers of women with polycystic ovary syndrome: a pilot study,pmid:15358722,
1.0,1.12,313,60.0,"Sir-Petermann T, Ladrón de Guevara A, Codner E, Preisler J, Crisosto N, Echiburú B, Maliqueo M, Sánchez F, Perez-Bravo F, Cassorla F. Relationship between anti-Müllerian hormone (AMH) and insulin levels during different tanner stages in daughters of women with polycystic ovary syndrome. Reprod Sci. 2012 Apr;19(4):383-90. doi: 10.1177/1933719111424444. Epub 2012 Feb 16. PMID: 22344736. (primary citation)

",primary_citation,,Sir-Petermann T,2012,"Sir-Petermann T et al., 2012",10.1177/1933719111424444,22344736.0,,,,Relationship Between Anti-Müllerian Hormone (AMH) and Insulin Levels During Different Tanner Stages in Daughters of Women With Polycystic Ovary Syndrome,pmid:22344736,
1.0,1.12,314,60.0,"Maliqueo M, Sir-Petermann T, Pérez V, Echiburú B, de Guevara AL, Gálvez C, Crisosto N, Azziz R. Adrenal function during childhood and puberty in daughters of women with polycystic ovary syndrome. J Clin Endocrinol Metab. 2009 Sep;94(9):3282-8. doi: 10.1210/jc.2009-0427. Epub 2009 Jun 30. PMID: 19567527.",samestudy_313,,Maliqueo M,2009,"Maliqueo M et al., 2009",10.1210/jc.2009-0427,19567527.0,,,,Adrenal Function during Childhood and Puberty in Daughters of Women with Polycystic Ovary Syndrome,pmid:19567527,
